,Word,x_val,y_val
0,time,0.007976964116096497,-0.005098511464893818
1,present,-0.003146320814266801,0.0010748591739684343
2,and,0.009383498691022396,-0.0038962005637586117
3,past,0.0026424371171742678,-0.002603907370939851
4,are,0.004891255870461464,-0.00040807295590639114
5,both,0.0025476834271103144,-0.00032970806933008134
6,perhaps,0.003005052451044321,-0.005516692064702511
7,in,0.013080627657473087,0.008900248445570469
8,future,0.006031402386724949,0.0007635633810423315
9,",",0.01624377630650997,-0.0029663825407624245
10,contained,0.00035835630842484534,0.009860225953161716
11,.,0.006515615154057741,0.0014250525273382664
12,if,0.00483380351215601,0.004455689340829849
13,all,0.010445067659020424,0.008501878008246422
14,is,0.0033139586448669434,0.006177032366394997
15,eternally,0.007478301879018545,0.01080227643251419
16,unredeemable,0.0029125099536031485,-0.0011513641802594066
17,what,-0.0031612208113074303,0.0009517071885056794
18,might,0.005338454619050026,-0.002456634072586894
19,have,0.004235122352838516,0.001463286578655243
20,been,0.004643512889742851,0.0025814943946897984
21,an,-0.009277647361159325,0.00588168716058135
22,abstraction,-0.0008124614832922816,0.0011326582171022892
23,remaining,-0.0039416044019162655,-0.0012415747623890638
24,a,0.004745848942548037,0.0014775950694456697
25,perpetual,0.0054809884168207645,0.0022004409693181515
26,possibility,0.006543060764670372,-0.003820667276158929
27,only,0.006919855251908302,-0.0009429503115825355
28,world,0.0016758376732468605,-0.0016660805558785796
29,of,0.014844818972051144,0.002098602009937167
30,speculation,0.0011291289702057838,-0.0021132093388587236
31,has,-0.0014835011679679155,0.0010305168107151985
32,point,-0.007281544152647257,0.002986041596159339
33,to,0.00030301479273475707,-0.001499309903010726
34,one,0.0033223240170627832,0.008949138224124908
35,end,-0.001687141484580934,8.853841427480802e-05
36,which,0.008687196299433708,-0.003746109316125512
37,always,0.002753429813310504,-0.002499762224033475
38,footfalls,-0.00393673637881875,-5.4455886129289865e-05
39,echo,0.00488083902746439,-0.0032593130599707365
40,the,0.016646619886159897,0.0006934173870831728
41,memory,0.000613037555012852,0.0028195262420922518
42,down,-0.0014955189544707537,-0.0017455383203923702
43,passage,0.002004399662837386,0.0029354351572692394
44,we,0.008665584027767181,-0.001628152676858008
45,did,0.004665554966777563,-0.0029712063260376453
46,not,0.009320917539298534,-0.0027042049914598465
47,take,0.0010504048550501466,0.0026144213043153286
48,towards,0.002904606983065605,0.0015366504667326808
49,door,-0.0060946461744606495,-0.009942363947629929
50,never,0.0018602489726617932,-0.009017598815262318
51,opened,-0.0038035730831325054,0.0012097139842808247
52,into,0.0009104054188355803,-0.0009042106685228646
53,rose-garden,0.0007619597017765045,0.00015949249791447073
54,my,-0.002305961912497878,0.002097899094223976
55,words,0.0002117414551321417,0.00045031830086372793
56,thus,0.004896873142570257,0.007828613743185997
57,your,-0.0006171796121634543,0.0009281240054406226
58,mind,-0.008305269293487072,-0.0010603151749819517
59,but,0.007463496178388596,0.008355643600225449
60,purpose,-0.004420469049364328,-0.0032294916454702616
61,disturbing,-0.0011599825229495764,-0.00999110285192728
62,dust,0.0027046827599406242,-0.001320330542512238
63,on,0.002866229275241494,-0.0011092384811490774
64,bowl,0.0017795073799788952,0.00887258443981409
65,rose-leaves,-0.00435600383207202,0.003815091447904706
66,i,-0.007723918184638023,-0.00010384960478404537
67,do,-0.0034297744277864695,0.0009070609812624753
68,know,-0.0033778701908886433,0.004891873337328434
69,other,-0.002832054626196623,-0.001958640292286873
70,echoes,-0.007666165940463543,-0.0022565315011888742
71,inhabit,-0.000837012950796634,0.0020265483763068914
72,garden,-0.0026868346612900496,0.000797593966126442
73,shall,0.003955531865358353,-0.0064764502458274364
74,follow,-0.004942288622260094,-0.009188785217702389
75,?,0.0038419445045292377,-0.00022403025650419295
76,quick,0.000832854479085654,0.004747824277728796
77,said,0.0063624754548072815,-0.0050317938439548016
78,bird,-0.000620416714809835,-0.0014198798453435302
79,find,-0.00046771636698395014,-0.001658031833358109
80,them,0.0014588449848815799,0.0013198284432291985
81,round,-0.0009193664300255477,-0.0003991500416304916
82,corner,-0.0019138470524922013,-0.005293488502502441
83,through,0.005712947808206081,0.0021541425958275795
84,first,0.010752420872449875,0.0025808317586779594
85,gate,0.005922215059399605,-0.00308781280182302
86,our,0.0020176272373646498,-0.0026847647968679667
87,deception,-0.0018004614394158125,0.002494911663234234
88,thrush,0.002252817852422595,-0.0011770713608711958
89,there,0.0015633860602974892,0.0028081871569156647
90,they,-0.000644272135104984,-0.002979133976623416
91,were,-0.00014091930643189698,-0.0017980823758989573
92,dignified,-0.007737692445516586,0.003957950975745916
93,invisible,0.0016979683423414826,0.00198854086920619
94,moving,0.003240198828279972,-0.00281715695746243
95,without,0.0022813628893345594,0.0022162017412483692
96,pressure,-0.0027342913672327995,0.004371934570372105
97,over,-0.0013077494222670794,0.0029228017665445805
98,dead,0.002307075774297118,-0.0021782079711556435
99,leaves,0.001885375939309597,-0.0005059001850895584
100,autumn,0.00543167581781745,-0.0024997310247272253
101,heat,-0.0021962046157568693,-0.005728779826313257
102,vibrant,-0.001848850166425109,-0.006010402459651232
103,air,-0.0016899076290428638,-0.004227871540933847
104,called,0.0019249044125899673,-0.007196555379778147
105,response,-0.00023030942247714847,-0.002566313836723566
106,unheard,-0.0004402278282213956,0.004650270100682974
107,music,-0.009292667731642723,-0.0026186539325863123
108,hidden,0.0036190487444400787,-0.0011258379090577364
109,shrubbery,-0.001053346786648035,-0.00017413827299606055
110,unseen,-0.0009492730023339391,-0.003567972918972373
111,eyebeam,-0.00023419532226398587,-0.007097379770129919
112,crossed,-0.006531659513711929,0.0021094062831252813
113,for,0.00633591040968895,0.0032617950346320868
114,roses,-0.002103280508890748,-0.005919037386775017
115,had,-0.004061723127961159,-0.0038656345568597317
116,look,0.0006715754279866815,0.0064655751921236515
117,flowers,-0.002278505824506283,-0.001015629037283361
118,that,0.0036844881251454353,0.003353531938046217
119,looked,-0.0010608343873172998,0.00017842758097685874
120,at,-0.0062289065681397915,0.002152427099645138
121,as,0.004147327039390802,0.0033303441014140844
122,guests,0.002828642027452588,-0.0010781328892335296
123,accepted,-0.00400810781866312,-0.00187928625382483
124,accepting,-0.0079959686845541,-0.00018056159024126828
