,Word,x_val,y_val
0,a,0.006495130248367786,0.0062692672945559025
1,penny,0.0026169302873313427,0.003253792878240347
2,for,0.0061429571360349655,0.005010553635656834
3,the,0.0030741614755243063,3.763687709579244e-05
4,old,0.0027176975272595882,-0.004178620874881744
5,guy,0.004598607309162617,-0.00878089852631092
6,i,-0.010519899427890778,-0.0032892690505832434
7,we,-0.0014978963881731033,0.00020970321202185005
8,are,-0.0012968207010999322,-0.0027331653982400894
9,hollow,0.0027967209462076426,0.00013508084521163255
10,men,-0.0007601955439895391,0.006792427506297827
11,stuffed,-0.0009202445507980883,0.0005185589543543756
12,leaning,0.006405750289559364,0.005155468825250864
13,together,-0.00866409856826067,-0.00021891779033467174
14,headpiece,0.0012275644112378359,-0.0028072369750589132
15,filled,0.008928726427257061,-0.002558103296905756
16,with,0.012707620859146118,0.004247039090842009
17,straw,-0.009578953497111797,0.0017683864571154118
18,.,0.011591087095439434,-0.0017468224978074431
19,alas,0.0008598715648986399,0.0046584345400333405
20,!,-0.00440185097977519,-0.0039177704602479935
21,our,-0.0003064022457692772,0.0036996309645473957
22,dried,0.010246883146464825,0.00027355714701116085
23,voices,-0.0011493534548208117,-0.006880547851324081
24,",",-0.0003914342960342765,0.0028235188219696283
25,when,-0.00372446165420115,0.0013057371834293008
26,whisper,-0.003184494562447071,0.003122110152617097
27,quiet,0.003562953555956483,0.009020177647471428
28,and,-7.169660875661066e-06,-0.0074664996936917305
29,meaningless,-8.506901940563694e-05,0.0014277298469096422
30,as,0.003780363593250513,0.0005726329400204122
31,wind,0.004583712201565504,-0.004236437845975161
32,in,0.003086050972342491,0.005653793457895517
33,dry,-0.003133654361590743,0.00930084753781557
34,grass,-0.0020564100705087185,0.0034668853040784597
35,or,0.0012251762673258781,-0.006327392067760229
36,rats,0.005898940842598677,0.00221649999730289
37,',0.0056899054907262325,-0.01123163290321827
38,feet,-0.000693274661898613,-0.00136125972494483
39,over,0.0037157314363867044,0.006156913470476866
40,broken,-0.0013240559492260218,-0.0033783065155148506
41,glass,0.0013286384055390954,-0.0041033923625946045
42,cellar,-3.912053580279462e-05,-0.005657104775309563
43,shape,0.0009487134520895779,-0.0040078479796648026
44,without,-0.0019935129676014185,-0.000143890967592597
45,form,-0.0037990405689924955,-0.0021134447306394577
46,shade,0.005766196176409721,0.0024291398003697395
47,colour,0.01575864478945732,0.0063712080009281635
48,paralysed,-0.003816483775153756,0.0029069867450743914
49,force,-0.000686737650539726,0.005457875318825245
50,gesture,-0.00355422031134367,-0.002914750948548317
51,motion,-0.005414197687059641,-0.00629254849627614
52,;,-0.000182939984370023,0.0007526060799136758
53,those,-0.00032793681020848453,0.0001641176058910787
54,who,0.0019458701135590672,-0.006632300093770027
55,have,0.0038098301738500595,-0.00694684823974967
